Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
1732,05/08/2015 - 1:34pm,jack collins,,,3/8/15,3/8/15,,Spring,,44.611451,-75.169559,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),35,,,,yes,yes,no,jack collins,
1733,05/08/2015 - 2:11pm,Canton 55 CT TW,,,5/8/15,5/8/15,,Spring,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,,,,no,yes,Flowers are visible,Canton 55 CT TW,yes
1734,05/08/2015 - 2:12pm,Ashley and Weasly Ames,,,5/8/15,5/8/15,,Spring,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,,,,yes,yes,Flowers are visible,Ashley and Weasly Ames,
1735,05/08/2015 - 2:12pm,Canton 48 MC AC,,,5/8/15,5/8/15,,Spring,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,,,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),Canton 48 MC AC,yes
1736,05/08/2015 - 2:12pm,Canton 56 EW ZW,,,5/8/15,5/8/15,,Spring,,44.60493,75168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,,,,yes,yes,Flowers are visible,Canton 56 EW ZW,Yes
1737,05/08/2015 - 2:12pm,Canton 56 EW ZW,,,5/8/15,5/8/15,,Spring,,44.60493,75168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,,,,yes,yes,Flowers are visible,Canton 56 EW ZW,Yes
1738,05/08/2015 - 2:13pm,canton,,,5/8/15,5/8/15,,Spring,,44.605998,-75.167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,,,,yes,yes,Flowers are visible,canton,yes
1739,05/08/2015 - 2:14pm,Canton 46 BB OA,,,5/8/15,5/8/15,,Spring,,44.605492,-75.167624,Yes,School lawn,Shaded (less than 2hr per day of direct sun),136,,,,yes,yes,no,Canton 46 BB OA,YES
1740,05/08/2015 - 2:14pm,ad dd,,,5/8/15,5/8/15,,Spring,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),65,,,,yes,yes,Flowers are visible,ad dd,yes
1741,05/08/2015 - 2:17pm,Canton 52 KL SL,,,5/8/15,5/8/15,,Spring,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,,,,yes,yes,Flowers are visible,Canton 52 KL SL,yes
1742,05/08/2015 - 2:24pm,nb rb,,,5/8/15,5/8/15,,Spring,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),21,,,,yes,yes,Flowers are visible,nb rb,
1743,05/12/2015 - 1:20pm,Jacob Malcomb,,,5/7/15,5/7/15,,Spring,,44.597023,-75.170246,Yes,Home lawn,Partially Shaded (2-5hr per day of direct sun),41,,,,no,yes,no,Jacob Malcomb,
1744,05/20/2015 - 8:30am,Ab Jb,,,12/5/15,12/5/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,,,yes,yes,no,Ab Jb,yes
1745,05/20/2015 - 8:30am,MB RB,,,5/20/15,5/20/15,,Spring,,44.611187,-75.169034,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),8,,,,yes,yes,no,MB RB,yes
1746,05/20/2015 - 8:31am,Canton DS,,,5/20/15,5/20/15,,Spring,,44.610246,-75.169979,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,,,,yes,yes,no,Canton DS,
1747,05/20/2015 - 8:31am,Jm Co,,,5/20/15,5/20/15,,Spring,,42.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),48,,,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),Jm Co,
1748,05/20/2015 - 8:32am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1749,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1750,05/20/2015 - 8:33am,WG JH,,,5/20/15,5/20/15,,Spring,,44.610793,-75.170487,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,,,,yes,yes,no,WG JH,broken and dead limbs
1751,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1752,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1753,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1754,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1755,05/20/2015 - 8:33am,Canton 6 LH RH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),44.5,,,,no,yes,no,Canton 6 LH RH,yes
1756,05/20/2015 - 8:33am,Canton 4 AD MF,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),46,,,,yes,yes,no,Canton 4 AD MF,
1757,05/20/2015 - 8:34am,KWMW canton 12,,,5/20/15,5/20/15,,Spring,,4436.344,-7510.157,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23.5,,,,yes,yes,no,KWMW canton 12,yes
1758,05/20/2015 - 8:35am,Canton 3 KCLF ,,,5/20/15,5/20/15,,Spring,,44.611399,-75.169526,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24.5,,,,yes,yes,no,Canton 3 KCLF ,couple branches don't have leaves
1759,05/20/2015 - 8:35am,Canton 9 MP TW,,,5/20/15,5/20/15,,Spring,,44.6111449,-75.169515,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),9,,,,yes,yes,no,Canton 9 MP TW,
1760,05/20/2015 - 8:36am,Canton 7 CL JH,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),37.5,,,,no,yes,no,Canton 7 CL JH,yes
1761,05/20/2015 - 8:37am,BS SS Canton 12,,,5/20/15,5/20/15,,Spring,,44.61138,-75.169582,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),3.8,,,,no,no,no,BS SS Canton 12,yes
1762,05/20/2015 - 11:34am,Canton 18 SJ SL,,,5/20/15,5/20/15,,Spring,,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30.5,,,,yes,yes,no,Canton 18 SJ SL,yes
1763,05/20/2015 - 11:36am,Canton 14 HB AB,,,5/20/15,5/20/15,,Spring,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),30,,,,yes,yes,no,Canton 14 HB AB,yes
1764,05/20/2015 - 11:37am,GW ES,,,5/20/15,5/20/15,,Spring,,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),4.5,,,,yes,yes,no,GW ES,"Yes 1 Brocken branch

Bye the way... It's Gretchen's birthday <3 :D

                  "
1765,05/20/2015 - 11:37am,Canton 15 CC CC ,,,5/20/15,5/20/15,,Spring,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),6,,,,yes,yes,no,Canton 15 CC CC ,"Yes, it does."
1766,05/20/2015 - 11:37am,canton 20 ML BM,,,5/20/15,5/20/15,,Spring,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,,,yes,yes,Flowers are visible,canton 20 ML BM,yes
1767,05/20/2015 - 11:37am,IN RR 21,,,5/20/15,5/20/15,,Spring,,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),18,,,,no,yes,no,IN RR 21,
1768,05/20/2015 - 11:37am,Canton 16 NH XJ,,,5/20/15,5/20/15,,Spring,,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,yes,yes,Flowers are visible,Canton 16 NH XJ,yes
1769,05/20/2015 - 11:38am,JR CR,,,5/20/15,5/20/15,,Spring,,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),22,,,,no,yes,no,JR CR,Yes
1770,05/20/2015 - 11:39am,Canton 17 NJ IJ,,,5/20/15,5/20/15,,Spring,,44.611465,-75.169554,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),33,,,,yes,yes,no,Canton 17 NJ IJ,yes
1771,05/20/2015 - 11:39am,Canton 23 ES JR,,,5/20/15,5/20/15,,Spring,,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,yes,yes,no,Canton 23 ES JR,Yes however it has a missing limb
1772,05/20/2015 - 11:39am,riley and keenan ,,,5/20/15,5/20/15,,Spring,,44.61146,75.169603,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,,,,yes,yes,no,riley and keenan ,yes
1773,05/20/2015 - 11:39am,Canton 13 SB JB,,,5/20/15,5/20/15,,Spring,,44.611452,-75.169535,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,yes,yes,no,Canton 13 SB JB,
1774,05/20/2015 - 12:53pm,CH NF,,,5/20/15,5/20/15,,Spring,,44.61029,-75.170224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,yes,yes,no,CH NF,
1775,05/20/2015 - 12:53pm,Canton28 TD RN,,,5/20/15,5/20/15,,Spring,,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,yes,yes,no,Canton28 TD RN,
1776,05/20/2015 - 12:53pm,Canton 25 EA BB ,,,5/20/15,5/20/15,,Spring,,44.611455,-75.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,,,,yes,yes,no,Canton 25 EA BB ,
1777,05/20/2015 - 12:53pm,BF SF,,,5/20/15,5/20/15,,Spring,,44.611203,-75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),14,,,,no,yes,no,BF SF,YES!!!!
1778,05/20/2015 - 12:53pm,Canton 27 JD HC,,,5/20/15,5/20/15,,Spring,,44.160527,-75.169689,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,yes,yes,no,Canton 27 JD HC,yes
1779,05/20/2015 - 12:55pm,SS SS,,,5/20/15,5/20/15,,Spring,,44.611735,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,,,yes,yes,no,SS SS,
1780,05/20/2015 - 12:55pm,OS BW,,,5/20/15,5/20/15,,Spring,,44.611451,-75.169546,No,School lawn,Shaded (less than 2hr per day of direct sun),34,,,,yes,yes,no,OS BW,
1781,05/20/2015 - 12:57pm,"Nathaniel,Nyah,Seth",,,5/20/15,5/20/15,,Spring,,44.61078,-75.1169508,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),2.5,,,,yes,yes,no,"Nathaniel,Nyah,Seth",yes
1782,05/20/2015 - 12:57pm,JM  DM ,,,4/20/15,4/20/15,,Spring,,44.36412,-75.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),24,,,,yes,yes,no,JM  DM ,Yes
1783,05/20/2015 - 12:58pm,canton 26 nb rc ,,,5/20/15,5/20/15,,Spring,,44.611458,-75.169593,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),8,,,,yes,yes,no,canton 26 nb rc ,
1784,05/20/2015 - 1:40pm,canton 35 ja tb,,,5/20/15,5/20/15,,Spring,,44.611436,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),42,,,,yes,yes,no,canton 35 ja tb,yes
1785,05/20/2015 - 1:41pm,Canton 44 CS CW,,,5/20/15,5/20/15,,Spring,,44.611459,-75.16959,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),40,,,,yes,yes,no,Canton 44 CS CW,yes
1786,05/20/2015 - 1:42pm,GF MG,,,5/20/15,5/20/15,,Spring,,44.611433,-75.169584,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),6.5,,,,yes,yes,no,GF MG,yes
1787,05/20/2015 - 1:42pm,canton 38 AK AK,,,5/20/15,5/20/15,,Spring,,44.611188,-75.169001,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),13,,,,no,yes,no,canton 38 AK AK,
1788,05/20/2015 - 1:43pm,AR CR,,,5/20/15,5/20/15,,Spring,,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,yes,yes,no,AR CR,
1789,05/20/2015 - 1:43pm,Canton 42 AS CS,,,5/20/15,5/20/15,,Spring,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),48.5,,,,no,no,no,Canton 42 AS CS,Yes.
1790,05/20/2015 - 1:44pm,GS CS,,,5/20/15,5/20/15,,Spring,,44.608917,-75171201,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),26,,,,yes,yes,no,GS CS,yes
1791,05/20/2015 - 1:45pm,AT CV,,,5/20/15,5/20/15,,Spring,,44.611236,-75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,,,,yes,no,Flowers are visible,AT CV,yes
1792,05/20/2015 - 1:45pm,Canton 36 JC ED,,,5/20/15,5/20/15,,Spring,,44.611451,-75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),26,,,,yes,yes,no,Canton 36 JC ED,
1793,05/20/2015 - 2:10pm,abbi dent  destiny daniels,,,5/20/15,5/20/15,,Spring,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),65,,,,yes,yes,Flowers are visible,abbi dent  destiny daniels,
1794,05/20/2015 - 2:10pm,,,,5/20/15,5/20/15,,Spring,,44.605511,-75.167999,Yes,School lawn,Open (more than 5hr per day of direct sun),66,,,,yes,yes,no,,yes
1795,05/20/2015 - 2:11pm,Canton 46 BB OA,,,5/20/15,5/20/15,,Spring,,44.605492,-75.167624,Yes,School lawn,Open (more than 5hr per day of direct sun),136,,,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),Canton 46 BB OA,Yes
1796,05/20/2015 - 2:11pm,Canton 48 MC AC,,,5/20/15,5/20/15,,Spring,,44.605362,-75.167645,Yes,School lawn,Open (more than 5hr per day of direct sun),101,,,,yes,yes,Flowers are visible and producing pollen (shake the flower to see if it releases pollen grains),Canton 48 MC AC,yes
1797,05/20/2015 - 2:12pm,Canton 56 EW ZW,,,5/20/15,5/20/15,,Spring,,44.60493,75168005,Yes,School lawn,Open (more than 5hr per day of direct sun),86,,,,yes,yes,Flowers are visible,Canton 56 EW ZW,YES
1798,05/20/2015 - 2:12pm,Canton 55 ,,,5/20/15,5/20/15,,Spring,,44.605696,-75.167442,Yes,School lawn,Open (more than 5hr per day of direct sun),98,,,,no,yes,no,Canton 55 ,
1799,05/20/2015 - 2:12pm,Canton ND ZF 50,,,5/20/15,5/20/15,,Spring,,44.60594,-75.167302,Yes,School lawn,Open (more than 5hr per day of direct sun),91,,,,no,yes,Flowers are visible,Canton ND ZF 50,Yes
1800,05/20/2015 - 2:14pm,Canton 47 NB RB,,,5/20/15,5/20/15,,Spring,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),22,,,,no,yes,no,Canton 47 NB RB,"Yes, very much so!"
1801,05/20/2015 - 2:15pm,canton 52 kl sl,,,5/20/15,5/20/15,,Spring,,44.605769,-75.16797,Yes,School lawn,Open (more than 5hr per day of direct sun),60,,,,yes,yes,Flowers are visible,canton 52 kl sl,yes
1802,05/20/2015 - 2:17pm,,,,4/20/15,4/20/15,,Spring,,44.6095995,-75167856,Yes,School lawn,Open (more than 5hr per day of direct sun),67,,,,yes,yes,no,,yes
1803,05/20/2015 - 2:19pm,WA CantonNy,,,5/20/15,5/20/15,,Spring,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,,,,no,yes,no,WA CantonNy,
1804,04/15/2016 - 8:06am,Richard Love & Bryce Deshane,,,4/5/16,4/5/16,,Spring,Red Maple,44.931608,74.866565,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),84,,,,yes,no,no,Richard Love & Bryce Deshane,Yes.  no damage.
1805,04/15/2016 - 8:10am,"Micaela, Maddy, Rachelle",,,4/5/16,4/5/16,,Spring,Norway Maple,44.931699,74.866865,Yes,School lawn,Open (more than 5hr per day of direct sun),30,,,,no,no,no,"Micaela, Maddy, Rachelle",perfectly healthy.
1806,04/15/2016 - 8:26am,"Ethan, Molly & Morgan",,,4/5/16,4/5/16,,Spring,Red Maple,44.931729,74.866672,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),96,,,,no,no,no,"Ethan, Molly & Morgan",moss on trunk
1807,04/15/2016 - 9:04am,"Zoe Mills, Alyssa Pruett, Quentin Briggs",,,4/5/16,4/5/16,,Spring,Red Maple,44.931166,74.867122,Yes,School lawn,Open (more than 5hr per day of direct sun),96,,,,yes,no,no,"Zoe Mills, Alyssa Pruett, Quentin Briggs",moss on tree
1808,04/15/2016 - 10:50am,Canton 20 bses,,20,4/15/16,4/15/16,,Spring,Sugar Maple,44.611952,75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),34,,,,no,no,no,Canton 20 bses,broken branches/limbs missing
1809,04/15/2016 - 10:51am,canton23kwsw,,23,4/15/16,4/15/16,,Spring,Sugar Maple,44.575389,-75.1361,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,no,no,no,canton23kwsw,
1810,04/15/2016 - 10:51am,Canton13bbrb,,13,4/16/16,4/16/16,,Spring,Sugar Maple,44.611452,75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,,,no,no,no,Canton13bbrb,"broken/missing limbs, dead top"
1811,04/15/2016 - 10:51am,Canton 22 EWGT,,22,4/15/16,4/15/16,,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,,,,no,no,no,Canton 22 EWGT,Branch is partially broken
1812,04/15/2016 - 10:51am,Canton24GWNW,,24,4/15/16,4/15/16,,Spring,Sugar Maple,44.611412,-75.169456,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),4,,,,no,no,no,Canton24GWNW,"Yes, although there is one broken off branch that is starting to rot."
1813,04/15/2016 - 10:51am,Canton14CBHKB,,14,4/15/16,4/15/16,,Spring,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),32,,,,no,no,no,Canton14CBHKB,Yes
1814,04/15/2016 - 10:52am,Canton 17 MJOK,,17,4/15/16,4/15/16,,Spring,Sugar Maple,44.611465,-75.169554,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),5435,,,,no,no,no,Canton 17 MJOK,
1815,04/15/2016 - 10:52am,Canton 16 JHTF,,16,4/15/16,4/15/16,,Spring,Sugar Maple,44.6,-75.2,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,no,no,no,Canton 16 JHTF,No. It has a broken limb
1816,04/15/2016 - 10:53am,Canton21stat,,,4/15/16,4/15/16,,Spring,Sugar Maple,44.610277,-75.169802,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),46.75,,,,no,no,no,Canton21stat,"Yes, some missing limbs though."
1817,04/15/2016 - 10:54am,canton18skmm,,18,4/15/16,4/15/16,,Spring,Sugar Maple,44.611477,-75.169512,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31.5,,,,no,no,no,canton18skmm,
1818,04/15/2016 - 10:54am,canton kc bf,,15,4/15/16,4/15/16,,Spring,Sugar Maple,44.611452,-75.169535,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),50,,,,no,no,no,canton kc bf,yes
1819,04/15/2016 - 11:05am,"Emberly Herne, Jordan, Lanee, Candance",,,4/5/16,4/5/16,,Spring,Silver Maple,44.931052,74.866786,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),90,,,,yes,no,no,"Emberly Herne, Jordan, Lanee, Candance",some dead branches
1820,04/15/2016 - 11:31am,Canton29emkm,,,4/15/16,4/15/16,,Spring,Sugar Maple,44.611202,75.169027,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),12,,,,no,no,no,Canton29emkm,yes
1821,04/15/2016 - 11:31am,canton 31 LRHR,,31,4/15/16,4/15/16,,Spring,Sugar Maple,44.36412,73.10104,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45,,,,yes,no,no,canton 31 LRHR,Yes
1822,04/15/2016 - 11:31am,CANTON25GBVB,,25,4/15/16,4/15/16,,Spring,Sugar Maple,44.611455,-76.169544,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),9,,,,no,no,no,CANTON25GBVB,
1823,04/15/2016 - 11:31am,Canton 32 csds,,32,4/15/16,4/15/16,,Spring,Sugar Maple,44.61078,-75.116568,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),43,,,,no,no,no,Canton 32 csds,yes
1824,04/15/2016 - 11:31am,Canton30gosp,,30,4/15/16,4/15/16,,Spring,Sugar Maple,44.61029,-75.070224,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,,,,no,no,no,Canton30gosp,Yes
1825,04/15/2016 - 11:31am,LFMG,,26,4/15/16,4/15/16,,Spring,Sugar Maple,44.611458,-76.169593,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),7,,,,yes,no,no,LFMG,Yes; Scratch from animal
1826,04/15/2016 - 11:32am,Canton 28 LLLH,,28,4/15/16,4/15/16,,Spring,Sugar Maple,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),25,,,,no,no,no,Canton 28 LLLH,
1827,04/15/2016 - 11:33am,Canton 33 ccsd,,,4/15/16,4/15/16,,Spring,Sugar Maple,44.611735,75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,,,,yes,no,no,Canton 33 ccsd,moss
1828,04/15/2016 - 11:35am,colby,,34,4/15/16,4/15/16,,Spring,Sugar Maple,44.611451,-75.169546,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),35,,,,no,no,no,colby,yes
1829,04/15/2016 - 12:29pm,"Matthew Vilnave, Taylor Otis, Allan Claffey, Nick Snyder",,,4/15/16,4/15/16,,Spring,Red Maple,44.931018,74.867305,Yes,School paved area,Open (more than 5hr per day of direct sun),65,,,,yes,no,no,"Matthew Vilnave, Taylor Otis, Allan Claffey, Nick Snyder","fungus, broken branches with no bark."
1830,04/15/2016 - 12:33pm,"Brooke, Harley, Timara & Erika",,,4/5/16,4/5/16,,Spring,Red Maple,44.931849,74.866442,Yes,School lawn,Open (more than 5hr per day of direct sun),121,,,,no,no,no,"Brooke, Harley, Timara & Erika","some damages, dead branches with missing bark and insect holes"
1831,04/15/2016 - 12:49pm,Canton43etnr,,43,4/15/16,4/15/16,,Spring,Sugar Maple,44.611236,-7.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,,,,no,no,no,Canton43etnr,Yeah
1832,04/15/2016 - 12:49pm,ashton,,36,4/15/16,4/15/16,,Spring,Sugar Maple,44.611151,75.169559,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),26,,,,no,no,no,ashton,yes
1833,04/15/2016 - 12:49pm,Hannah Pike and Lianna Pront,,42,4/15/16,4/15/16,,Spring,Sugar Maple,44.611236,75.169032,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),38,,,,no,no,no,Hannah Pike and Lianna Pront,"Yes, except for some moss and broken branches."
1834,04/15/2016 - 12:49pm,Canton 40 lf xj,,40,4/15/16,4/15/16,,Spring,Sugar Maple,44.610247,-75.169787,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),24,,,,no,no,no,Canton 40 lf xj,
